Direction_Bin,Count,Average_wind_velocity,Slope_Coefficient
0-30,1,1.86073961007187,0.08877076348406182
30-60,23,2.3933751062847315,0.028270927179575384
60-90,136,3.3082284789394354,0.03855298220318515
90-120,171,3.1577483103520856,0.03201172187390762
120-150,298,3.1926786885713105,0.02511284551341908
150-180,809,4.36063021186807,0.02667692247435416
180-210,785,4.584877752106779,0.022989713399607762
210-240,171,4.048599311566836,0.0399016940514618
240-270,137,3.538191208900609,0.0389593804683265
270-300,109,2.6945190243305714,0.026371035055320388
300-330,50,3.522387413905524,0.033656452074557544
330-360,1,0.856138460537631,0.20806996719572696
