Direction_Bin,Count,Average_wind_velocity,Slope_Coefficient
0-30,688,2.7683437788559915,0.03471914066217985
30-60,1580,3.2555475689493396,0.058713827903227545
60-90,1430,3.394475090371322,0.0660519181687137
90-120,2457,3.942390440701027,0.025595881078249283
120-150,2743,3.383861874582189,0.012498103471514208
150-180,3559,3.677537316831219,0.0126677735846914
180-210,2117,3.344570100742622,0.05679996890467742
210-240,1963,3.1214743124786075,0.07148087994368835
240-270,2577,3.4652338957700457,0.0580602057039854
270-300,1343,3.313483197126954,0.04994504423470036
300-330,839,2.7958906702471698,0.025573919116794575
330-360,703,2.7785210463530485,0.027208108609339643
