Direction_Bin,Count,Average_wind_velocity,Slope_Coefficient
0-30,350,2.9545157175606334,0.04798289574761605
30-60,184,1.9863030374602808,0.07462502868946852
60-90,388,2.006706184346782,0.06596519750267449
90-120,461,2.243249269179855,0.03668551097760453
120-150,525,2.5210480130014385,0.04290476686194847
150-180,1112,3.095791974576413,0.02962647300418545
180-210,1370,3.1192307656086533,0.019876408056632544
210-240,629,2.679793619546792,0.06944632137662533
240-270,504,2.7954377967449404,0.08931094797464366
270-300,279,2.670422862637108,0.04552129530880586
300-330,159,2.636558090125582,0.03666841212931178
330-360,219,2.2978611671369364,0.029386193819023188
